0.000122 0.000270
0.000128 0.001280
0.000147 0.002290
0.000179 0.003300
0.000223 0.004311
0.000281 0.005321
0.000350 0.006331
0.000433 0.007341
0.000528 0.008351
0.000636 0.009361
0.000757 0.010371
0.000890 0.011381
0.001036 0.012391
0.001195 0.013401
0.001367 0.014412
0.001551 0.015422
0.001748 0.016432
0.001957 0.017442
0.002179 0.018452
0.002414 0.019462
0.002662 0.020472
0.002923 0.021482
0.003196 0.022492
0.003481 0.023502
0.003780 0.024513
0.004091 0.025523
0.004415 0.026533
0.004752 0.027543
0.005101 0.028553
0.005463 0.029563
0.005838 0.030573
0.006225 0.031583
0.006625 0.032593
0.007038 0.033603
0.007463 0.034614
0.007902 0.035624
0.008353 0.036634
0.008816 0.037644
0.009293 0.038654
0.009782 0.039664
0.010283 0.040674
0.010798 0.041684
0.011325 0.042694
0.011865 0.043704
0.012417 0.044715
0.012982 0.045725
0.013560 0.046735
0.014151 0.047745
0.014754 0.048755
0.015370 0.049765
0.015999 0.050775
0.016641 0.051785
0.017295 0.052795
0.017962 0.053805
0.018641 0.054816
0.019333 0.055826
0.020038 0.056836
0.020756 0.057846
0.021486 0.058856
0.022229 0.059866
0.022985 0.060876
0.023754 0.061886
0.024535 0.062896
0.025329 0.063906
0.026135 0.064917
0.026954 0.065927
0.027786 0.066937
0.028631 0.067947
0.029488 0.068957
0.030359 0.069967
0.031241 0.070977
0.032137 0.071987
0.033045 0.072997
0.033966 0.074008
0.034899 0.075018
0.035846 0.076028
0.036805 0.077038
0.037776 0.078048
0.038761 0.079058
0.039758 0.080068
0.040768 0.081078
0.041790 0.082088
0.042825 0.083098
0.043873 0.084109
0.044934 0.085119
0.046007 0.086129
0.047093 0.087139
0.048192 0.088149
0.049303 0.089159
0.050427 0.090169
0.051564 0.091179
0.052714 0.092189
0.053876 0.093199
0.055051 0.094210
0.056239 0.095220
0.057439 0.096230
0.058652 0.097240
0.059878 0.098250
0.061116 0.099260
0.062367 0.100270
