Date,Open,High,Low,Close
2025-04-06,4.212,4.259,3.86,4
2025-04-13,3.951,4.593,3.878,4.497
2025-04-20,4.482,4.487,4.259,4.329
2025-04-27,4.343,4.439,4.236,4.255
2025-05-04,4.233,4.334,4.123,4.308
2025-05-11,4.322,4.398,4.258,4.382
2025-05-18,4.412,4.55,4.389,4.445
2025-05-25,4.484,4.629,4.427,4.521
2025-06-01,4.546,4.563,4.381,4.398
2025-06-08,4.425,4.52,4.309,4.514
2025-06-15,4.505,4.521,4.314,4.402
2025-06-22,4.415,4.462,4.335,4.378
2025-06-29,4.398,4.408,4.238,4.28
2025-07-06,4.278,4.382,4.185,4.328
2025-07-13,4.331,4.436,4.322,4.412
2025-07-20,4.414,4.497,4.396,4.416
2025-07-27,4.418,4.443,4.327,4.391
2025-08-03,4.393,4.431,4.203,4.219
2025-08-10,4.246,4.298,4.188,4.283
2025-08-17,4.273,4.333,4.201,4.32
2025-08-24,4.307,4.352,4.243,4.257
2025-08-31,4.269,4.313,4.2,4.23
2025-09-07,4.239,4.306,4.056,4.073
2025-09-14,4.094,4.102,3.986,4.068
2025-09-21,4.08,4.147,3.987,4.129
2025-09-28,4.143,4.202,4.099,4.178
2025-10-05,4.162,4.169,4.076,4.124
2025-10-12,4.145,4.182,4.034,4.034
2025-10-19,4.081,4.085,3.933,4.013
2025-10-26,4.02,4.029,3.937,4.004
2025-11-02,4.029,4.118,3.97,4.101
