Date,Open,High,Low,Close,Volume
2020-04-12,411.1,458.7,410,446.3,94204400
2020-04-19,438.3,441.5,408.6,416.1,76706800
2020-04-26,411.7,434.9,408.5,421.8,74094700
2020-05-03,424.2,451.8,421.3,440.4,65828500
2020-05-10,427.4,446.8,425.6,441.1,32214600
2020-05-17,433.1,435.9,402.5,405.5,86525100
2020-05-24,405,427.3,402.8,415.9,55545700
2020-05-31,425,481.3,418.7,462.9,112208700
2020-06-07,466,502.2,465,498.3,95018000
2020-06-14,509,519.9,457.6,476.2,85638000
2020-06-21,468.2,483,463.4,481,61320600
2020-06-28,481,494.4,473.6,492.5,71051400
2020-07-05,490,496.9,475.9,480.6,64691400
2020-07-12,480.5,504.9,478.4,483.7,76681900
2020-07-19,492.1,503.4,486.3,495.3,65635300
2020-07-26,495,502.2,491.5,495.2,28566600
2020-08-02,488.3,506.6,475.4,489.7,93823600
2020-08-09,495.8,527.8,495.2,514.5,70038300
2020-08-16,528.9,542,523.4,537.8,54181000
2020-08-23,534,541.2,528.5,537.1,42538700
2020-08-30,536.3,556.6,532.6,540.5,53387300
2020-09-06,547.3,553.1,536.3,544.3,41546100
2020-09-13,542,544.6,529.4,538.5,49195300
2020-09-20,540,540,509,510.9,56516800
2020-09-27,500.3,504.2,492.3,499.1,36477400
2020-10-04,500.1,510.3,472.1,474.9,52996600
2020-10-11,487,505.8,483.5,486,50145100
2020-10-18,486.5,494.6,479.5,487.2,33759800
2020-10-25,489.5,498.6,486.4,497.8,33489000
2020-11-01,495.8,498.9,463.3,464.5,51966700
2020-11-08,471,503.3,470.9,497.8,52892300
2020-11-15,495.5,541.8,492,505.7,87245000
2020-11-22,517,532.5,506.4,509,58100900
2020-11-29,528.8,546,523.5,536.8,56193800
2020-12-06,537,567.6,524,560.5,81730500
2020-12-13,566.6,567,539.1,550.9,49424600
2020-12-20,548,552.8,532,534,41542700
2020-12-27,533.8,547.9,522.7,543,49376500
2021-01-03,541.3,548.2,535.1,545,26041800
2021-01-10,544.9,599,534.6,598.9,83803600
2021-01-17,598,598.6,571.8,590.4,61795700
2021-01-24,583.9,585,560.9,562.6,52730800
2021-01-31,567.3,569.7,535.2,551.7,111515200
2021-02-07,547.2,600,540.4,591,83773500
2021-02-14,595,648,594.1,643.6,75699500
2021-02-21,650.2,662.2,615.3,619.2,74678900
2021-02-28,631.5,640.5,616.8,618.8,48783300
2021-03-07,622.2,647.1,621.5,643,58403400
2021-03-14,653,680.8,652.5,670.7,91055400
2021-03-21,676.3,704.8,662.6,698.3,95879200
2021-03-28,703,721,676.7,720.7,87529200
2021-04-04,650,650.5,565.6,572.2,372959700
2021-04-11,572,599.9,570.4,585,142101400
2021-04-18,591,592,566.3,582,89577000
2021-04-25,578.6,579.1,562.2,574.5,74489700
2021-05-02,573.9,600,568,586.9,105608600
2021-05-09,591.9,592.4,568.6,570.3,59858900
2021-05-16,570,580.9,555.1,576.8,100767300
2021-05-23,578.9,601.5,575.7,594.7,90479300
2021-05-30,596.5,614.8,592.2,605.5,141222100
2021-06-06,605.8,609.5,594.5,602.5,63277500
2021-06-13,607,609.6,586.2,588,68303200
2021-06-20,592.8,596.8,570.5,571.9,70040300
2021-06-27,559.5,578.3,557,571.9,66970300
2021-07-04,576.1,585.5,563.1,567.6,57537200
2021-07-11,565.7,567,531.8,542.3,62218900
2021-07-18,552.3,562.1,549.1,554.7,44621400
2021-07-25,552.4,560,541,549.5,27639800
2021-08-01,554.8,557.3,544,548.1,42552700
2021-08-08,545.2,546.3,530,542.6,53009000
2021-08-15,544,559,541,556.4,38951300
2021-08-22,549.8,550,514,519.8,60945500
2021-08-29,522.9,539.9,522.1,532,36951800
2021-09-05,534.6,561.9,528.1,561.7,62135000
2021-09-12,572.2,585.9,566.5,578,80225000
2021-09-19,573,586,563.3,568.8,73974100
2021-09-26,548.8,570.9,547.6,570.9,38908200
2021-10-03,575.4,583.5,541.6,543.7,71023100
2021-10-10,549.8,557.8,538.3,545.3,49251000
2021-10-17,546.3,560,541.1,557.4,43660400
2021-10-24,557.2,578.7,551.3,554,50737000
2021-10-31,552.6,560.4,546.7,550,36379300
2021-11-07,525.2,527.2,506.7,516.3,104767600
2021-11-14,516.3,518,500.1,500.1,63970900
2021-11-21,503,508.5,486.8,489.6,85362600
2021-11-28,488.7,502.4,485.7,491.3,50249700
2021-12-05,482.8,488.9,471,485.4,96153800
2021-12-12,484.9,511.1,482.1,503.7,69314000
2021-12-19,508,522,500.2,514.3,83018600
2021-12-26,509,509.8,488,503.4,64127000
2022-01-02,503,506.4,500.2,501.7,30330200
2022-01-09,510.8,528,506.9,522.1,44051400
2022-01-16,523.8,537.4,518.7,531.6,45547400
2022-01-23,534.8,539.3,505,517.5,48669300
2022-01-30,512.5,516.8,500.4,508.9,46426800
2022-02-06,503.3,541.7,497.7,538.7,69339800
2022-02-13,543,554.2,536,545.5,43509600
2022-02-20,541.5,551.1,536.1,544,42038900
2022-02-27,538.6,541.3,521.3,525,38488000
2022-03-06,525.2,533.7,506.8,510,48578000
2022-03-13,499,499.1,460.3,488.4,62422900
2022-03-20,492.9,520.2,492.4,516.4,53272700
2022-03-27,525,562.2,523.7,543.2,50641700
2022-04-03,545.1,547.7,510.4,516.7,46341500
2022-04-10,516.6,522.7,499.2,508.5,34221700
2022-04-17,502.7,514.4,491.3,504,36678300
2022-04-24,500.1,517.6,497,515,33092000
2022-05-01,508.5,512,475.6,500,65631700
2022-05-08,494.2,501.7,488.9,497.9,25619100
2022-05-15,493.4,494.7,467.4,474.7,67035100
2022-05-22,481.4,487.7,469.1,486.1,61261500
2022-05-29,491.8,501.9,487,501,55428400
