(130, 5) 2.971644312361681
(130, 5) 3.1705276221513694
(130, 5) 3.0491394600777264
(130, 5) 3.318395292925744
(130, 5) 3.3615524364072367
(130, 5) 3.2430521685467366
(130, 5) 2.9588534784427725
(130, 5) 3.2489408870305567
(130, 5) 3.044700078055713
(130, 5) 2.161313270462961
(130, 5) 2.511689444417854
(130, 5) 3.4289424110119375
(130, 5) 3.4000006944870274
(130, 5) 3.6282353389296076
(130, 5) 3.582720287734714
(130, 5) 2.5187919990231764
(130, 5) 0.03948817220089529
(130, 5) 3.207426114022696
(130, 5) 3.1499567987193373
(130, 5) 2.7373646651081693
(130, 5) 3.046626525663229
(130, 5) -0.5418310637537225
(130, 5) -4.785389095713942
(130, 5) -4.61637839624863
(130, 5) 1.5970383393888838
(130, 5) 3.2220576688205833
(130, 5) 3.378194510380656
(130, 5) 0.27271197375168743
(130, 5) 0.28356792691058974
(130, 5) 2.621118955952765
(130, 5) 3.3390924520305245
(130, 5) 1.114052957827195
(130, 5) 3.553502222995881
(130, 5) 2.758205000215706
(130, 5) 2.853010814265321
(130, 5) 3.3767084157407106
(130, 5) 3.4313013575295184
(130, 5) 3.485585821248036
(130, 5) 3.546048344693887
(130, 5) 3.260991515206568
(130, 5) 3.483858818700401
(130, 5) 3.4545893782096715
(130, 5) 2.1112584121532514
(130, 5) -1.9296994773457299
(130, 5) 3.354328871339364
(130, 5) 3.359220875882037
(130, 5) 3.2845435765338045
(130, 5) 2.9138867581442556
(130, 5) 2.7449557559343036
(130, 5) 3.344948183193523
(130, 5) -0.5885590961385212
(130, 5) 1.3350068163323632
(130, 5) 1.6356346222845224
(130, 5) 2.542812129292087
(130, 5) 2.8876173454773575
(130, 5) 3.009187977352841
(130, 5) 1.8923039470621934
(130, 5) 2.8484651899100784
(130, 5) 3.111762694687187
(130, 5) 3.121669968749317
(130, 5) 1.8806050979705462
(130, 5) 2.5614618263211675
(130, 5) 2.5575249940426135
(130, 5) 3.1199513522921536
(130, 5) 1.6558385011708283
(130, 5) 2.9045010804950966
(130, 5) 1.8995235747850638
(130, 5) 0.5036582091384108
(130, 5) 2.923384345777003
(130, 5) 0.9190451076327153
(130, 5) -1.211993915361608
(130, 5) 2.3677531991689342
(130, 5) 2.8439397216804925
(130, 5) -5.696905544397266
(130, 5) -2.713550330656709
(130, 5) 2.463750989595513
(130, 5) 2.468679229285794
(130, 5) 2.8685023773193286
(130, 5) 2.7151374849351613
(130, 5) 2.4972833086704576
(130, 5) 2.8555215688101345
(130, 5) 2.816629170757642
(130, 5) 2.413534730420145
(130, 5) 2.9606350345141115
(130, 5) 1.4757036102429468
(130, 5) 2.8546754625428945
(130, 5) 2.939897159756513
(130, 5) 2.243762694393067
(130, 5) 2.3046889870667244
(130, 5) 3.010101896281261
(130, 5) 3.1003646245629835
(130, 5) -0.9748229149946921
(130, 5) 2.9236587354921277
(130, 5) 2.7531226286141735
(130, 5) 3.123965149037268
(130, 5) 1.1842142235476065
(130, 5) 3.2516763978235423
(130, 5) 3.1947738204906564
(130, 5) 3.2170423207454926
(130, 5) 3.2867727425957654
(130, 5) 2.2294316181771663
(130, 5) 3.3252366560213757
(130, 5) 2.886459219423373
(130, 5) 3.382729589491257
