jst (15, 2, 100) 22.261129801694207 0.05270650222041506
rst (15, 2, 100) 22.269573477420845 0.05778695758296095
jst (15, 2, 100) 15.871933598756234 0.06007318087256467
rst (15, 2, 100) 15.97270734491904 0.049683141661396556
jst (15, 2, 100) 11.642433675407064 0.06258597286384991
rst (15, 2, 100) 11.653080725900143 0.06072563697814619
jst (15, 2, 100) 10.780234565745884 0.04218117313573226
rst (15, 2, 100) 10.668469225761651 0.05435775638416317
jst (15, 2, 100) 13.199455479589178 0.06795488971353625
rst (15, 2, 100) 13.403360255577345 0.05015973884489176
jst (15, 2, 100) 9.70508329747988 0.0628445604865445
rst (15, 2, 100) 9.839626074946793 0.06582895341498822
jst (15, 2, 100) 15.447756413914176 0.06435407003679491
rst (15, 2, 100) 15.429862719202186 0.06991611098542248
jst (15, 2, 100) 8.845243496756328 0.06442103925547284
rst (15, 2, 100) 9.063234233917356 0.03777629828009467
jst (15, 2, 100) 17.856060594347156 0.05104768105633087
rst (15, 2, 100) 17.800295225848014 0.05399709975143791
jst (15, 2, 100) 11.2556294993179 0.04599093437743106
rst (15, 2, 100) 11.040975141473007 0.05936129646288639
