jst (5, 2, 100) 5.7813792045930965 0.20178751401059455
rst (5, 2, 100) 6.01346293189213 0.13465750713988114
jst (5, 2, 100) 6.435838072521201 0.1437381379465205
rst (5, 2, 100) 6.484050400621473 0.14341392860505772
jst (5, 2, 100) 19.060904874730497 0.08783868885021129
rst (5, 2, 100) 19.087277669685946 0.07798400371854146
jst (5, 2, 100) 7.482297546084576 0.10615544791177176
rst (5, 2, 100) 7.530046508672962 0.0916242197551674
jst (5, 2, 100) 17.04482438975856 0.21341413096000555
rst (5, 2, 100) 17.14891202903294 0.09838516790175085
jst (5, 2, 100) 22.61374191096151 0.15156833836152964
rst (5, 2, 100) 22.941028218819866 0.15394350340483012
jst (5, 2, 100) 11.17073675464407 0.11428707169771225
rst (5, 2, 100) 11.103757222535245 0.15554339112715476
jst (5, 2, 100) 22.51245357086745 0.1785210163297196
rst (5, 2, 100) 22.82963033332529 0.09133271959141873
jst (5, 2, 100) 17.983287633166388 0.11799783033622621
rst (5, 2, 100) 18.045889221778953 0.11960857893829899
jst (5, 2, 100) 15.383205106600975 0.15616346815116477
rst (5, 2, 100) 15.597597866714217 0.09062372388553282
