jst (10, 2, 100) 10.453732754418741 0.08484230494566457
rst (10, 2, 100) 10.541611628554094 0.07490220609008101
jst (10, 2, 100) 19.624882917628995 0.07219788751149847
rst (10, 2, 100) 19.477665857207946 0.07686074589709492
jst (10, 2, 100) 27.816742192639516 0.07080402126607825
rst (10, 2, 100) 27.852900093009985 0.07309873042352641
jst (10, 2, 100) 22.323522683432937 0.07189318782152906
rst (10, 2, 100) 22.42871489632159 0.07165828387466587
jst (10, 2, 100) 27.390982658413815 0.08003783579208208
rst (10, 2, 100) 27.500228981650718 0.09439137862223859
jst (10, 2, 100) 20.35315479943259 0.05417787769349084
rst (10, 2, 100) 20.19743513649249 0.06343649261561025
jst (10, 2, 100) 11.271842581038761 0.053705891859846436
rst (10, 2, 100) 11.05558351301004 0.07313669334912214
jst (10, 2, 100) 22.31428877761537 0.11555750834888107
rst (10, 2, 100) 22.619714254118804 0.05800176341716054
jst (10, 2, 100) 18.73425169420694 0.06656047000636721
rst (10, 2, 100) 18.880934160924998 0.07056220906669809
jst (10, 2, 100) 10.797108229692528 0.08449947889794114
rst (10, 2, 100) 10.786146338671792 0.09471849208684878
jst (10, 2, 100) 21.20448493151905 0.0717231297446799
rst (10, 2, 100) 21.21641775276539 0.07141640067560749
jst (10, 2, 100) 23.257651833602363 0.07686369762241321
rst (10, 2, 100) 23.434391215199298 0.06144728344460727
jst (10, 2, 100) 15.718212529052066 0.07504844180912046
rst (10, 2, 100) 15.829853896185222 0.05734581529500203
jst (10, 2, 100) 7.34654406699509 0.08974246849241163
rst (10, 2, 100) 7.469412749973725 0.05348883929592666
jst (10, 2, 100) 16.005850238776087 0.07072786124150027
rst (10, 2, 100) 15.948030997612905 0.08823728646414569
jst (10, 2, 100) 13.88412018852735 0.061927564999898675
rst (10, 2, 100) 13.776763344899596 0.08961846047359014
jst (10, 2, 100) 12.16490593644605 0.0831587624595371
rst (10, 2, 100) 12.242142001359015 0.0508860187566471
jst (10, 2, 100) 10.435569969261149 0.07971973557473633
rst (10, 2, 100) 10.255992930125656 0.10265273582537242
jst (10, 2, 100) 15.019491511253923 0.12181949102141418
rst (10, 2, 100) 15.181544704387866 0.06894359812823124
jst (10, 2, 100) 10.344496672983334 0.12008202559654434
rst (10, 2, 100) 10.346393812709756 0.09340235158956219
